"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"BOS","2018-19",82,1670,811,82,122,114,46,88,55,0,0,3,0,0,11,1601
"IND","2018-19",82,1594,739,101,129,98,43,95,56,0,0,1,0,0,13,1642
"OKC","2000-01",82,1733,708,126,0,184,0,0,0,0,0,3,0,0,27,0
"CHA","2000-01",82,1753,791,151,0,199,0,0,0,0,0,5,0,0,18,0
"TOR","2000-01",82,1745,769,112,0,153,0,0,0,0,0,2,0,0,12,0
"UTA","2000-01",82,2108,810,134,0,178,0,0,0,0,0,3,0,0,32,0
"MEM","2000-01",82,1732,699,108,0,173,0,0,0,0,0,5,0,0,27,0
"WAS","2000-01",82,1913,822,121,0,239,0,0,0,0,0,1,0,0,25,0
"DET","2000-01",82,1955,797,131,0,172,0,0,0,0,0,2,0,0,29,0
"MIL","2018-19",82,1608,735,116,64,86,84,69,70,0,0,1,0,0,17,1653
"ATL","2016-17",82,1491,732,117,122,85,48,114,76,62,53,0,0,0,20,1767
"TOR","2018-19",82,1724,753,122,89,99,46,84,63,0,0,2,0,0,27,1680
"GSW","2018-19",82,1757,855,80,91,128,26,81,60,0,0,0,0,0,10,1600
"PHI","2018-19",82,1745,866,95,99,119,50,68,25,0,0,2,0,0,12,1816
"NYK","2019-20",66,1464,704,73,76,112,46,68,21,0,0,2,0,0,12,1305
"POR","2019-20",74,1606,751,112,103,116,28,107,26,0,0,2,0,0,23,1488
"DEN","2018-19",82,1644,777,93,113,88,45,69,44,0,0,2,0,0,19,1675
"MIN","2018-19",82,1664,783,125,118,100,55,96,60,0,0,1,0,0,9,1795
"ORL","2018-19",82,1526,734,73,80,79,48,105,50,0,0,1,0,0,18,1537
